Dia,T,TM,Tm,SLP,H,Latitud,Longitud,Ciudad
6/1/2021,26.4,33.9,17.0,1007.7,35.0,20.66,-103.38,Guadalajara
6/2/2021,24.2,34.2,18.6,1007.4,51.0,20.66,-103.38,Guadalajara
6/3/2021,20.7,29.3,16.5,1009.9,69.0,20.66,-103.38,Guadalajara
6/4/2021,19.0,25.5,15.7,1011.3,81.0,20.66,-103.38,Guadalajara
6/5/2021,21.2,28.2,15.2,1011.2,64.0,20.66,-103.38,Guadalajara
6/6/2021,23.7,32.5,15.2,1007.7,51.0,20.66,-103.38,Guadalajara
6/7/2021,24.3,33.8,16.0,1007.4,48.0,20.66,-103.38,Guadalajara
6/8/2021,25.4,34.7,16.8,1006.8,43.0,20.66,-103.38,Guadalajara
6/9/2021,28.0,36.5,18.3,1007.8,51.0,20.66,-103.38,Guadalajara
6/10/2021,27.3,35.0,18.6,1006.9,40.0,20.66,-103.38,Guadalajara
6/11/2021,26.7,35.8,18.2,1004.1,34.0,20.66,-103.38,Guadalajara
6/12/2021,25.7,34.1,18.2,1003.4,43.0,20.66,-103.38,Guadalajara
6/13/2021,19.4,31.2,17.0,1008.3,83.0,20.66,-103.38,Guadalajara
6/14/2021,20.6,26.4,17.5,1010.2,78.0,20.66,-103.38,Guadalajara
6/15/2021,22.1,29.3,17.5,1010.2,65.0,20.66,-103.38,Guadalajara
6/16/2021,24.2,32.6,17.1,1006.7,51.0,20.66,-103.38,Guadalajara
6/17/2021,23.2,30.7,15.8,1006.4,51.0,20.66,-103.38,Guadalajara
6/18/2021,23.1,31.8,15.8,1004.2,52.0,20.66,-103.38,Guadalajara
6/19/2021,21.8,28.8,18.0,1004.5,66.0,20.66,-103.38,Guadalajara
6/20/2021,18.4,19.7,17.5,1010.3,88.0,20.66,-103.38,Guadalajara
6/22/2021,20.8,29.8,17.3,1010.2,80.0,20.66,-103.38,Guadalajara
6/23/2021,20.8,29.5,17.1,1011.3,74.0,20.66,-103.38,Guadalajara
6/24/2021,22.4,28.8,17.0,1010.9,68.0,20.66,-103.38,Guadalajara
6/25/2021,19.2,29.8,16.7,1009.7,83.0,20.66,-103.38,Guadalajara
6/26/2021,18.2,29.4,13.5,1007.3,81.0,20.66,-103.38,Guadalajara
6/29/2021,20.8,24.0,16.2,1008.4,68.0,20.66,-103.38,Guadalajara
6/30/2021,21.6,28.8,18.5,1009.4,66.0,20.66,-103.38,Guadalajara
