Dia,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,Latitud,Longitud,Ciudad
6/1/2021,26.4,33.9,17,1007.7,35,,12.4,5.2,72,,,,,,20.66,-103.38,Guadalajara
6/2/2021,24.2,34.2,18.6,1007.4,51,,11.7,5.7,72,,,,,, 20.66,-103.38,Guadalajara
6/3/2021,20.7,29.3,16.5,1009.9,69,2.54,10.6,11.5,35.9,,1,,,,20.66,-103.38,Guadalajara
6/4/2021,19,25.5,15.7,1011.3,81,,11.3,5,10.7,,1,,,,20.66,-103.38,Guadalajara
6/5/2021,21.2,28.2,15.2,1011.2,64,,12.6,,,,,,,,20.66,-103.38,Guadalajara
6/6/2021,23.7,32.5,15.2,1007.7,51,,14.8,6.3,10.7,,,,,,20.66,-103.38,Guadalajara
6/7/2021,24.3,33.8,16,1007.4,48,0.25,12.1,7.2,14.4,,1,,1,,20.66,-103.38,Guadalajara
6/8/2021,25.4,34.7,16.8,1006.8,43,,12.8,48,72,,,,,,20.66,-103.38,Guadalajara
6/9/2021,28,36.5,18.3,1007.8,51,,11,4,5,72,,,,,20.66,-103.38,Guadalajara
6/10/2021,27.3,35,18.6,1006.9,40,,14.3,5.4,72,,,,,,20.66,-103.38,Guadalajara
6/11/2021,26.7,35.8,18.2,1004.1,34,,12.5,5.7,10.7,,,,,,20.66,-103.38,Guadalajara
6/12/2021,25.7,34.1,18.2,1003.4,43,,12.4,6.1,10.7,,,,,,20.66,-103.38,Guadalajara
6/13/2021,19.4,31.2,17,1008.3,83,10.13,9.5,,,,1,,,,20.66,-103.38,Guadalajara
6/14/2021,20.6,26.4,17.5,1010.2,78,,12.1,3.5,3.5,,1,,,,20.66,-103.38,Guadalajara
6/15/2021,22.1,29.3,17.5,1010.2,65,4.06,13,5.4,10.7,,1,,,,20.66,-103.38,Guadalajara
6/16/2021,24.2,32.6,17.1,1006.7,51,,12.1,4.1,72,,,,,,20.66,-103.38,Guadalajara
6/17/2021,23.2,30.7,15.8,1006.4,51,.51,12.4,5.7,72,,,,,,20.66,-103.38,Guadalajara
6/18/2021,23.1,31.8,15.8,1004.2,52,,12.1,4.8,72,,,,,,20.66,-103.38,Guadalajara
6/19/2021,21.8,28.8,18,1004.5,66,,10.8,6.372,,,1,,,,20.66,-103.38,Guadalajara
6/20/2021,18.4,19.7,17.5,1010.3,88,11.4,11.4,,,,1,,,,20.66,-103.38,Guadalajara
6/21/2021,,,,,,,,,,,,,,,20.66,-103.38,Guadalajara
6/22/2021,20.8,29.8,17.3,1010.2,80,,10.6,4.3,72,,1,,,,20.66,-103.38,Guadalajara
6/23/2021,20.8,29.5,17.1,1011.3,74,2.79,11.4,5.7,72,,1,,,,20.66,-103.38,Guadalajara
6/24/2021,22.4,28.8,17,1010.9,68,11.94,11.7,,,,1,,,,20.66,-103.38,Guadalajara
6/25/2021,19.2,29.8,16.7,1009.7,83,2.54,10.8,4.4,72,,1,,,,20.66,-103.38,Guadalajara
6/26/2021,18.2,29.4,13.5,1007.3,81,14.22,11.1,,,,1,,,,20.66,-103.38,Guadalajara
6/27/2021,,,,,,,,,,,,,,,20.66,-103.38,Guadalajara
6/28/2021,,,,,,,,,,,,,,,20.66,-103.38,Guadalajara
6/29/2021,20.8,24,16.2,1008.4,68,1.27,11.4,5.4,10.7,,,,,,20.66,-103.38,Guadalajara
6/30/2021,21.6,28.8,18.5,1009.4,66,,12.1,4.1,72,,,,,,20.66,-103.38,Guadalajara
